Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D_Small,D_SOD-123_THT_Back,93.31,-102.32,90.0,bottom
D2,D_Small,D_SOD-123_THT_Back,74.26,-102.32,90.0,bottom
D3,D_Small,D_SOD-123_THT_Back,74.26,-121.37,90.0,bottom
D4,D_Small,D_SOD-123_THT_Back,93.31,-121.37,90.0,bottom
D5,D_Small,D_SOD-123_THT_Back,93.31,-149.945,90.0,bottom
D6,D_Small,D_SOD-123_THT_Back,74.26,-149.945,90.0,bottom
D7,D_Small,D_SOD-123_THT_Back,102.835,-168.995,90.0,bottom
D8,D_Small,D_SOD-123_THT_Back,79.0225,-168.995,90.0,bottom
D9,D_Small,D_SOD-123_THT_Back,76.64125,-188.045,90.0,bottom
D10,D_Small,D_SOD-123_THT_Back,95.1875,-204.9,90.0,bottom
D11,D_Small,D_SOD-123_THT_Back,79.0225,-226.145,90.0,bottom
D12,D_Small,D_SOD-123_THT_Back,112.36,-102.32,90.0,bottom
D13,D_Small,D_SOD-123_THT_Back,131.41,-102.32,90.0,bottom
D14,D_Small,D_SOD-123_THT_Back,131.41,-121.37,90.0,bottom
D15,D_Small,D_SOD-123_THT_Back,112.36,-121.37,90.0,bottom
D16,D_Small,D_SOD-123_THT_Back,112.36,-149.945,90.0,bottom
D17,D_Small,D_SOD-123_THT_Back,131.41,-149.945,90.0,bottom
D18,D_Small,D_SOD-123_THT_Back,121.885,-168.995,90.0,bottom
D19,D_Small,D_SOD-123_THT_Back,126.6475,-188.045,90.0,bottom
D20,D_Small,D_SOD-123_THT_Back,107.5975,-188.045,90.0,bottom
D21,D_Small,D_SOD-123_THT_Back,117.1225,-207.095,90.0,bottom
D22,D_Small,D_SOD-123_THT_Back,107.5975,-226.145,90.0,bottom
D23,D_Small,D_SOD-123_THT_Back,169.51,-102.32,90.0,bottom
D24,D_Small,D_SOD-123_THT_Back,150.46,-102.32,90.0,bottom
D25,D_Small,D_SOD-123_THT_Back,150.46,-121.37,90.0,bottom
D26,D_Small,D_SOD-123_THT_Back,169.51,-121.37,90.0,bottom
D27,D_Small,D_SOD-123_THT_Back,150.46,-149.945,90.0,bottom
D28,D_Small,D_SOD-123_THT_Back,159.985,-168.995,90.0,bottom
D29,D_Small,D_SOD-123_THT_Back,140.935,-168.995,90.0,bottom
D30,D_Small,D_SOD-123_THT_Back,164.7475,-188.045,90.0,bottom
D31,D_Small,D_SOD-123_THT_Back,145.6975,-188.045,90.0,bottom
D32,D_Small,D_SOD-123_THT_Back,155.2225,-207.095,90.0,bottom
D33,D_Small,D_SOD-123_THT_Back,136.1725,-207.095,90.0,bottom
D34,D_Small,D_SOD-123_THT_Back,188.56,-102.32,90.0,bottom
D35,D_Small,D_SOD-123_THT_Back,188.56,-121.37,90.0,bottom
D36,D_Small,D_SOD-123_THT_Back,188.56,-149.945,90.0,bottom
D37,D_Small,D_SOD-123_THT_Back,169.51,-149.945,90.0,bottom
D38,D_Small,D_SOD-123_THT_Back,198.085,-168.995,90.0,bottom
D39,D_Small,D_SOD-123_THT_Back,179.035,-168.995,90.0,bottom
D40,D_Small,D_SOD-123_THT_Back,202.8475,-188.045,90.0,bottom
D41,D_Small,D_SOD-123_THT_Back,183.7975,-188.045,90.0,bottom
D42,D_Small,D_SOD-123_THT_Back,193.3225,-207.095,90.0,bottom
D43,D_Small,D_SOD-123_THT_Back,174.2725,-207.095,90.0,bottom
D44,D_Small,D_SOD-123_THT_Back,188.56,-226.145,90.0,bottom
D45,D_Small,D_SOD-123_THT_Back,226.66,-102.32,90.0,bottom
